OBJECTID,RegionID,COUNT,AREA,MEAN
273,282,434241,1.884725959389180,22.595395183780436
274,283,25753572,111.777620481249627,51.488402036036014
275,284,35745474,155.145236811979942,18.284515432639108
276,285,9592053,41.632161156907941,18.418167309959610
277,286,6342295,27.527313239892592,24.626073842355172
278,287,1743,0.007565101745840,26.112449799196789
279,289,6028176,26.163949960889987,10.376675631235717
280,290,210798,0.914921582225816,29.318399605309349
281,291,1962387,8.517301961970093,31.142539162764532
282,292,5224117,22.674111667913266,28.347196473585871
283,293,880392,3.821144610570073,23.188057138183900
284,294,400713,1.739205172622384,28.392979514016265
285,295,2409670,10.458633806023212,22.925806438225980
286,296,410,0.001779513319446,41.719512195121951
287,297,16440231,71.355146437242766,40.957006626001785
288,298,5023016,21.801277745830543,22.353209506001971
289,299,74035856,321.336077728264172,29.803815586328874
290,300,147538,0.640355697864460,43.970597405414196
291,301,10670013,46.310805493078782,22.073684633748805
292,302,323,0.001401909273612,46.399380804953559
293,303,4386478,19.038526893797524,28.769996110774976
294,304,26103990,113.298531452892661,45.814532605934957
295,305,2928440,12.710238988289108,23.897800876917405
296,306,2199234,9.545283403850174,19.017984443674479
297,307,108605369,471.377318777685446,52.615110492373539
298,308,190075,0.824978034618791,24.177203735367620
299,309,644949,2.799256916739995,26.698100159857603
300,310,2416249,10.487188484385737,16.974850687987868
301,311,249794,1.084175000287078,37.802297092804473
302,312,358550,1.556206099237498,13.385511086319900
303,313,391,0.001697048068057,37.493606138107417
304,314,8069383,35.023352507832605,53.732690962865441
305,315,4501117,19.536091838743801,20.375630982265069
306,316,1799956,7.812306527845853,11.975296618361781
307,317,227550,0.987629892292547,24.260914084816523
308,318,4250211,18.447090451112278,20.264121240098433
309,319,33925038,147.244041423689566,15.468642275360164
310,320,197,0.000855034448612,42.862944162436548
311,321,7717,0.033493912893085,30.412077232085007
312,322,1128,0.004895831766671,22.569148936170212
313,324,1959,0.008502601445841,32.794793261868300
314,325,30174,0.130963499758450,29.919931066481077
315,326,1882,0.008168400163896,32.624867162592984
316,327,1156,0.005017359505560,31.970588235294116
317,328,4607,0.019995653323629,33.617538528326463
318,329,972,0.004218748650004,32.108024691358025
319,330,5899,0.025603290418078,31.275809459230377
320,331,654095,2.838953084592808,21.909103417699264
321,332,4349,0.018875862015295,38.436422166015177
322,334,2410112,10.460552208187101,26.019712776833607
323,335,100769,0.437365311432334,29.846986672488562
324,336,561830,2.438497483571618,18.750009789438085
325,337,1213254,5.265857689929693,24.535008332962430
326,338,51166673,222.077502720096561,43.164842122918564
327,339,2104590,9.134502285299808,31.018758523037743
328,340,17658927,76.644623911280817,56.738015169324839
329,341,2460,0.010677079916676,39.869918699186989
330,342,505122,2.192369090110287,25.440131295013877
331,343,36625,0.158962622743197,24.510034129692833
332,344,51,0.000221354095834,41.549019607843135
333,346,11627832,50.468004683611653,13.602349947952465
334,347,16560,0.071874977000064,34.506944444444443
335,348,66,0.000286458241667,57.166666666666664
