"","X1.Basin.Name","Total_richness","Native_richness","Exotic_richness"
"1854","Ogooue",263,261,2
"1855","Ogun",130,130,NA
"1856","Ohau",15,14,1
"1857","Ohinetamatea",15,14,1
"1858","Ohota",19,19,NA
"1859","Oirase",7,6,1
"1860","Oiratiti",10,8,2
"1861","Oita",5,5,NA
"1862","Okari",14,13,1
"1863","Okavango",117,111,6
"1864","Okchon",20,19,1
"1865","Okku.josuji",36,34,2
"1866","Okkye.josuji",26,25,1
"1867","Oktong.josuji",28,26,2
"1868","Okuru",5,4,1
"1869","Old",6,6,NA
"1870","Oldfield",6,5,1
"1871","Olenek",34,34,NA
"1872","Olifants",21,11,10
"1873","Ologe.Lagoon",9,9,NA
"1874","Olyuje",38,36,2
"1875","Omanawa",16,12,4
"1876","Ombrone",25,8,17
"1877","Omono",10,9,1
"1878","Ona",120,120,NA
"1879","Onega",33,33,NA
"1880","Ong",48,46,2
"1881","Onkaparinga",15,15,NA
"1882","Ono",3,3,NA
"1883","Oohata",3,3,NA
"1884","Ooi",4,4,NA
"1885","Oomizo",9,9,NA
"1886","Oota.Hiroshima",6,6,NA
"1887","Ooyodo",25,22,3
"1888","Opihi",17,14,3
"1889","Orange",23,18,5
"1890","Orari",13,12,1
"1891","Orb",40,28,12
"1892","Orcas.Island",9,9,NA
"1893","Ord",67,67,NA
"1894","Oreke",9,9,NA
"1895","Oreti",16,14,2
"1896","Orinoco",1126,1125,1
"1897","Orinomme",3,3,NA
"1898","Orkla",8,7,1
"1899","Orne",30,23,7
"1900","Oropouche.north",20,20,NA
"1901","Oropouche.south",22,22,NA
"1902","Ortoire",15,15,NA
"1903","Oruaiti",9,9,NA
"1904","Oruawharo",10,7,3
"1905","Osato",3,3,NA
"1906","Osip",34,33,1
"1907","Oso.creek",7,7,NA
"1908","Osse",91,91,NA
"1909","Ostrovnaya",3,3,NA
"1910","Osun",103,103,NA
"1911","Otaio",5,5,NA
"1912","Otaki",11,10,1
"1913","Otsu",1,1,NA
"1914","Ouameni",15,11,4
"1915","Oued.Abdallah",1,1,NA
"1916","Oued.Kiss",1,1,NA
"1917","Oued.Seybouse",7,5,2
"1918","Oueme",131,131,NA
"1919","Oulujoki",30,29,1
"1920","Oum.er.Rbia",14,11,3
"1921","Ouse",46,33,13
"1922","Owahanga",7,7,NA
"1923","Owaka",9,8,1
"1924","Owens",24,3,21
"1925","Oyabe",7,7,NA
"1926","Oyapock",264,264,NA
"1927","Oymapinar",35,32,3
"1928","Ozernaja.Kam",15,15,NA
"1929","Ozernaja.Taimyr",1,1,NA
"1930","Ozero.Rak.Yarv",3,3,NA
"1931","Paadremaa",12,12,NA
"1932","Pada",8,8,NA
"1933","Padas",49,49,NA
"1934","Padreco",16,15,1
"1935","Padrigiano",6,3,3
"1936","Paebong.ni",24,23,1
"1937","Paekho.josuji",29,27,2
"1938","Pagatban.Negros",53,48,5
"1939","Pahang",213,209,4
"1940","Pahaoa",8,7,1
"1941","Pahna",6,6,NA
"1942","Pajaro",19,19,NA
"1943","Pak.Phanang",85,82,3
"1944","Paladi.Aru",30,28,2
"1945","Palampotta.Ara",30,28,2
"1946","Paliastomi",35,34,1
"1947","Palinup",8,7,1
"1948","Palizada",40,40,NA
"1949","Paljavaam",18,18,NA
"1950","Palo.Blanco.creek",8,8,NA
"1951","Pamba",57,54,3
"1952","Pambula",8,8,NA
"1953","Pamissos",12,7,5
"1954","Pampana",114,113,1
"1955","Pan.Oya",30,28,2
"1956","Pangani",40,39,1
"1957","Paniai",18,18,NA
"1958","Pankulam.Aru",33,31,2
"1959","Pannela.Oya",30,28,2
"1960","Panuco",125,112,13
"1961","Paope",3,3,NA
"1962","Papagayo",46,43,3
"1963","Papaka",6,6,NA
"1964","Papaloapan",120,114,6
"1965","Paraguacu",109,107,2
"1966","Paraiba",18,15,3
"1967","Paraiba.2",18,18,NA
"1968","Paraiba.do.Sul",301,270,31
"1969","Parana",1044,1024,20
"1970","Parangi.Aru",30,28,2
"1971","Parawai",13,12,1
"1972","Pareora",9,7,2
"1973","Paria1",20,20,NA
"1974","Paringa",12,10,2
"1975","Parismina",33,31,2
"1976","Parnaiba",115,113,2
"1977","Parnu",30,28,2
